origin_airport,dest_airport,distance,totdepartures,totpassengers,totfreight,totmail,totdepartures_cat,totpassengers_cat
ACV,FAT,374,1,0,0,0,1.0,1.0
ACV,LAX,577,1,0,0,0,1.0,1.0
ACV,MRY,327,1,23,0,0,1.0,1.0
ACV,RDD,101,1,0,0,0,1.0,1.0
ACV,SAN,685,1,27,0,0,1.0,1.0
ACV,SBP,439,1,0,0,0,1.0,1.0
ACV,SFO,250,1392,55002,0,0,4.0,2.0
ACV,SMF,207,13,0,13810,0,1.0,1.0
ACV,UKI,137,2,0,243,0,1.0,1.0
APC,BUR,353,21,65,0,0,1.0,1.0
APC,LGB,381,1,8,0,0,1.0,1.0
APC,PSP,442,1,2,0,0,1.0,1.0
APC,RDD,158,1,5,0,0,1.0,1.0
BFL,ACV,471,1,0,0,0,1.0,1.0
BFL,BIH,139,1,0,10,0,1.0,1.0
BFL,LAX,109,1,0,0,0,1.0,1.0
BFL,MHR,248,1,6,0,0,1.0,1.0
BFL,OAK,236,1,34,0,0,1.0,1.0
BFL,ONT,126,494,0,764579,0,2.0,1.0
BFL,PSP,183,4,58,0,0,1.0,1.0
BFL,SAN,215,2,176,0,0,1.0,1.0
BFL,SFO,238,705,17121,0,0,3.0,1.0
BFL,SJC,208,1,42,0,0,1.0,1.0
BFL,SMF,265,3,174,0,0,1.0,1.0
BFL,SNA,139,1,68,0,0,1.0,1.0
BIH,IYK,122,249,0,60964,0,2.0,1.0
BIH,ONT,233,1,0,398,0,1.0,1.0
BUR,APC,353,20,65,0,0,1.0,1.0
BUR,FAT,193,7,0,0,0,1.0,1.0
BUR,HWD,318,1,0,0,0,1.0,1.0
BUR,IPL,186,557,1440,0,0,2.0,1.0
BUR,LVK,309,1,0,0,0,1.0,1.0
BUR,MCC,352,2,12,0,0,1.0,1.0
BUR,MER,252,1,0,0,0,1.0,1.0
BUR,MHR,342,1,0,0,0,1.0,1.0
BUR,MRY,256,7,5,0,0,1.0,1.0
BUR,MYF,119,1,5,0,0,1.0,1.0
BUR,OAK,325,4017,422275,244663,0,7.0,7.0
BUR,PSP,109,5,1,0,0,1.0,1.0
BUR,PTV,132,1,5,0,0,1.0,1.0
BUR,RDD,486,2,0,0,0,1.0,1.0
BUR,SAN,122,820,3030,0,0,3.0,1.0
BUR,SCK,301,2,5,0,0,1.0,1.0
BUR,SFO,326,1709,79082,2285,0,4.0,3.0
BUR,SJC,296,2306,217672,60365,0,5.0,5.0
BUR,SMF,358,2264,237905,51819,0,5.0,5.0
BUR,SNS,250,1,0,0,0,1.0,1.0
BUR,STS,387,2,3,0,0,1.0,1.0
BUR,TKF,367,1,0,0,0,1.0,1.0
BUR,TRM,132,8,4,0,0,1.0,1.0
BUR,TVL,336,2,1,0,0,1.0,1.0
BUR,VIS,157,545,3149,0,0,2.0,1.0
BUR,VWD,163,1,6,0,0,1.0,1.0
CEC,CIC,185,88,0,25345,0,1.0,1.0
CEC,FAT,422,1,0,0,0,1.0,1.0
CEC,SFO,304,175,2203,0,0,1.0,1.0
CEC,SJC,329,1,14,0,0,1.0,1.0
CEC,SMF,255,166,0,48312,0,1.0,1.0
CEC,UXK,258,1,0,114,0,1.0,1.0
CLD,APC,449,1,9,0,0,1.0,1.0
CLD,OAK,422,1,6,0,0,1.0,1.0
CLD,STS,484,1,7,0,0,1.0,1.0
EKA,SMF,198,544,0,626870,0,2.0,1.0
EKA,UKI,125,46,0,8640,0,1.0,1.0
FAT,BFL,100,2,5,0,0,1.0,1.0
FAT,BUR,193,5,2,0,0,1.0,1.0
FAT,LAX,209,1992,88158,0,0,5.0,3.0
FAT,MRY,119,4,183,0,0,1.0,1.0
FAT,ONT,222,179,62,2693952,0,1.0,1.0
FAT,PSP,272,1,7,0,0,1.0,1.0
FAT,SAN,314,674,40749,845,0,3.0,2.0
FAT,SBA,162,1,0,0,0,1.0,1.0
FAT,SFO,158,1292,52332,0,0,4.0,2.0
FAT,SMF,167,4,49,0,0,1.0,1.0
HWD,BUR,318,1,0,0,0,1.0,1.0
IPL,BUR,186,552,1436,0,0,2.0,1.0
IYK,ONT,111,252,0,272273,0,2.0,1.0
LAX,BFL,109,3,0,0,0,1.0,1.0
LAX,FAT,209,2344,106265,440,0,5.0,3.0
LAX,MCE,259,432,1931,0,0,2.0,1.0
LAX,MMH,256,391,17276,0,0,2.0,1.0
LAX,MRY,266,1629,62493,0,0,4.0,3.0
LAX,OAK,337,7303,575747,42185011,0,8.0,8.0
LAX,PSP,110,757,19705,0,0,3.0,2.0
LAX,SAN,109,6827,341003,245409,7356,8.0,6.0
LAX,SBP,156,1468,48750,0,0,4.0,2.0
LAX,SEE,113,1,2,0,0,1.0,1.0
LAX,SFO,337,20834,1869066,191855045,2478458,10.0,10.0
LAX,SJC,308,7979,596984,760416,76,8.0,8.0
LAX,SMF,373,7255,543656,834093,1679,8.0,8.0
LAX,SMX,134,247,4499,0,0,2.0,1.0
LAX,STS,399,169,10859,0,0,1.0,1.0
LAX,STS,400,816,47888,416,0,3.0,2.0
LAX,SUU,357,1,0,0,0,1.0,1.0
LAX,VIS,173,44,79,0,0,1.0,1.0
LGB,OAK,353,1090,129137,0,0,3.0,4.0
LGB,SFO,354,1082,132591,12046,0,3.0,4.0
LGB,SJC,324,5,205,0,0,1.0,1.0
LGB,SMF,387,716,86821,0,0,3.0,3.0
LVK,SNA,355,1,4,0,0,1.0,1.0
MCC,BUR,352,2,15,0,0,1.0,1.0
MCE,LAX,259,428,1852,0,0,2.0,1.0
MCE,LGB,274,1,6,0,0,1.0,1.0
MER,SMO,261,1,2,0,0,1.0,1.0
MHR,BUR,342,2,0,0,0,1.0,1.0
MHR,ONT,372,209,0,11532816,58431,1.0,1.0
MHR,VNY,338,1,4,0,0,1.0,1.0
MMH,LAX,256,392,16704,0,0,2.0,1.0
MMH,SAN,350,59,2564,0,0,1.0,1.0
MMH,SFO,193,132,3687,0,0,1.0,1.0
MOD,LAX,291,1,2,0,0,1.0,1.0
MRY,BUR,256,8,11,0,0,1.0,1.0
MRY,FAT,119,4,96,0,0,1.0,1.0
MRY,LAX,266,1647,64622,0,0,4.0,3.0
MRY,PSP,357,1,43,0,0,1.0,1.0
MRY,SAN,375,356,22133,0,0,2.0,2.0
MRY,VIS,138,1,0,758,0,1.0,1.0
MRY,VNY,250,1,2,0,0,1.0,1.0
MYF,BUR,119,1,0,0,0,1.0,1.0
NTD,SJC,274,1,156,0,0,1.0,1.0
NZY,SJC,418,0,0,0,0,1.0,1.0
OAK,BFL,236,1,53,0,0,1.0,1.0
OAK,BUR,325,4007,422003,262744,0,7.0,7.0
